Country,Sex,ex_diff_islam,ex_diff_islam_lower,ex_diff_islam_upper,ex_diff_aburto,ex_diff_aburto_lower,ex_diff_aburto_upper,ex_diff_raksha
Austria,Male,-0.84,-0.96,-0.72,-0.81,-0.98,-0.65,-0.251159773000992
Belgium,Male,-1.31,-1.42,-1.2,-1.16,-1.3,-1.01,-1.16785039421868
Bulgaria,Male,-1.96,-2.11,-1.81,-1.6,-1.79,-1.41,-1.53826199814526
Chile,Male,-1.64,-1.97,-1.32,-1.36,-1.52,-1.22,-1.75303152498226
Croatia,Male,-0.92,-1.09,-0.75,-0.83,-1.1,-0.57,-0.670779545818647
Czech Republic,Male,-1.26,-1.36,-1.15,-1.11,-1.26,-0.95,-1.45937411930848
Denmark,Male,-0.09,-0.19,0,0.05,-0.16,0.27,0.003294832175087
England and Wales,Male,-1.2,-1.35,-1.04,-1.14,-1.21,-1.07,-1.11926566608514
Estonia,Male,-0.75,-1,-0.5,-0.18,-0.64,0.26,-0.119918635820113
Finland,Male,-0.34,-0.42,-0.25,-0.14,-0.36,0.09,0.021283456677594
France,Male,-0.75,-0.86,-0.64,-0.67,-0.75,-0.61,-0.836830312832589
Germany,Male,-0.46,-0.67,-0.25,-0.34,-0.4,-0.28,-0.33401294467447
Greece,Male,-0.46,-0.61,-0.3,-0.36,-0.53,-0.18,0.039648794170333
Hungary,Male,-0.97,-1.07,-0.87,-0.72,-0.88,-0.57,-1.02099381278441
Iceland,Male,-0.26,-0.74,0.19,-0.2,-1.26,0.83,-0.180505861801961
Italy,Male,-1.56,-1.8,-1.34,-1.26,-1.32,-1.19,-1.39040057821126
Lithuania,Male,-1.83,-2.07,-1.59,-1.69,-2.04,-1.39,-2.12509610912214
Netherlands,Male,-1.03,-1.14,-0.92,-0.81,-0.92,-0.69,-0.760623977460028
Northern Ireland,Male,-1.07,-1.39,-0.76,-0.76,-1.15,-0.39,-1.31370760967592
Norway,Male,0.06,0,0.13,0.18,-0.04,0.39,0.180742772381862
Poland,Male,-1.54,-1.67,-1.41,-1.5,-1.59,-1.41,-1.843363022497
Portugal,Male,-0.93,-1.03,-0.84,-0.83,-0.98,-0.67,-0.948997186898367
Scotland,Male,-1.24,-1.45,-1.03,-1.06,-1.28,-0.8,-0.916494398703463
Slovakia,Male,-1,-1.12,-0.88,-0.83,-1.05,-0.59,-0.924778358019196
Slovenia,Male,-1.04,-1.21,-0.88,-0.98,-1.33,-0.63,-1.21049023560802
Spain,Male,-1.35,-1.53,-1.18,-1.4,-1.47,-1.33,-1.61240926259592
Sweden,Male,-0.9,-0.99,-0.81,-0.87,-1.02,-0.71,-0.808000443319031
Switzerland,Male,-1.05,-1.28,-0.83,-0.97,-1.14,-0.81,-1.12057124110507
USA,Male,-2.27,-2.39,-2.15,-2.24,-2.28,-2.21,-1.93798504414711
